ProductCode,BrandName,Week,Color,Target,Price,RankA,RankB,RankC,RankD,Rating,ReviewCount,Recommend,ReviewCountFromSite,ReviewCorrected_1,ReviewCorrected_2
300490352,Brand_1,2019W51,Nickel,232,79,61,56,58,2.082,4.49,189,92,189,2,2
300490352,Brand_1,2019W52,Nickel,188,79,61,56,58.429,2.44,4.49,190,92,190,1,1
300490352,Brand_1,2020W01,Nickel,209,79,56,44,50,8.485,4.49,190,92,190,190,0
206310467,Brand_1,2019W19,Bronze,264,122,42,40,40.857,1.069,4.39,424,91,424,424,3
206310467,Brand_1,2019W20,Bronze,106,122,39,36,37.714,1.254,4.39,427,91,427,3,3
206310467,Brand_1,2019W21,Bronze,114,122,37,36,36.714,0.488,4.39,427,91,427,0,0
206310467,Brand_1,2019W22,Bronze,113,122,37,36,36.857,0.378,4.39,427,91,427,0,0
206310467,Brand_1,2019W36,Bronze,161,122,40,32,34.857,3.625,4.4,445,91,445,18,18
206310467,Brand_1,2019W37,Bronze,144,122,38,32,35.429,3.207,4.4,446,91,446,1,1
206310467,Brand_1,2019W38,Bronze,165,122,41,32,36.714,4.536,4.4,446,91,446,0,0
206310467,Brand_1,2019W39,Bronze,181,122,45,39,41.429,2.149,4.41,448,91,448,2,2
206310467,Brand_1,2019W49,Bronze,121,119,42,37,39.571,1.988,4.42,463,91,463,15,15
206310467,Brand_1,2019W50,Bronze,162,119,42,35,37.571,2.76,4.41,467,91,467,4,4
206310467,Brand_1,2019W51,Bronze,176,119,30,30,30,0,4.41,472,91,472,5,5
206310467,Brand_1,2019W52,Bronze,118,119,60,28,40,14.572,4.41,474,91,474,2,2
206310467,Brand_1,2020W01,Bronze,182,119,30,28,29,1.414,4.41,475,91,475,475,1
206310466,Brand_1,2019W19,Chrome,475,93,41,39,39.857,1.069,4.39,424,91,424,424,3
206310466,Brand_1,2019W20,Chrome,510,93,38,35,36.714,1.254,4.39,427,91,427,3,3
206310466,Brand_1,2019W21,Chrome,478,93,36,35,35.714,0.488,4.39,427,91,427,0,0
206310466,Brand_1,2019W22,Chrome,435,93,36,35,35.857,0.378,4.39,427,91,427,0,0
206310466,Brand_1,2019W36,Chrome,463,99,39,31,33.857,3.625,4.4,445,91,445,18,18
206310466,Brand_1,2019W37,Chrome,457,99,37,31,34.429,3.207,4.4,446,91,446,1,1
206310466,Brand_1,2019W38,Chrome,400,99,40,31,35.714,4.536,4.4,446,91,446,0,0
206310466,Brand_1,2019W39,Chrome,466,99,42,40,40.429,0.787,4.41,448,91,448,2,2
206310466,Brand_1,2019W49,Chrome,1042,99,43,38,39.571,1.813,4.42,463,91,463,15,15
206310466,Brand_1,2019W50,Chrome,998,99,39,36,36.857,1.069,4.41,467,91,467,4,4
206310466,Brand_1,2019W51,Chrome,945,99,31,30,30.714,0.488,4.41,472,91,472,5,5
206310466,Brand_1,2019W52,Chrome,718,99,62,29,41.429,15.241,4.41,474,91,474,2,2
206310466,Brand_1,2020W01,Chrome,931,99,31,29,30,1.414,4.41,475,91,475,475,1
206310468,Brand_1,2019W19,Nickel,547,99,43,41,41.857,1.069,4.39,426,91,426,426,3
206310468,Brand_1,2019W20,Nickel,562,99,40,37,38.714,1.254,4.39,429,91,429,3,3
206310468,Brand_1,2019W21,Nickel,555,99,38,37,37.714,0.488,4.39,429,91,429,0,0
206310468,Brand_1,2019W22,Nickel,634,99,38,37,37.857,0.378,4.39,429,91,429,0,0
206310468,Brand_1,2019W36,Nickel,541,99,41,33,35.857,3.625,4.4,447,91,447,18,18
206310468,Brand_1,2019W37,Nickel,476,99,39,33,36.429,3.207,4.4,448,91,448,1,1
206310468,Brand_1,2019W38,Nickel,383,99,42,33,37.714,4.536,4.4,448,91,448,0,0
206310468,Brand_1,2019W39,Nickel,314,109,46,33,40.429,4.392,4.41,450,91,450,2,2
206310468,Brand_1,2019W49,Nickel,574,109,43,36,39.571,2.573,4.42,463,91,463,13,13
206310468,Brand_1,2019W50,Nickel,453,109,41,34,37.429,3.309,4.41,467,91,467,4,4
206310468,Brand_1,2019W51,Nickel,508,109,31,28,29,1,4.41,472,91,472,5,5
206310468,Brand_1,2019W52,Nickel,301,109,58,27,38.571,14.07,4.41,474,91,474,2,2
206310468,Brand_1,2020W01,Nickel,383,109,29,27,28,1.414,4.41,475,91,475,475,1
301281814,Brand_3,2019W19,Stainless Steel,299,194,94,85,89.857,3.532,4.73,194,97,194,194,4
301281814,Brand_3,2019W20,Stainless Steel,283,194,100,85,94.286,5.589,4.73,198,97,198,4,4
